epoch,step,min,max,mean,std
1,200,-0.140625,0.022213801741600037,-0.05694654956459999,0.05995265766978264
2,400,-0.109375,0.0184544175863266,-0.05398014560341835,0.051023662090301514
3,600,-0.457317978143692,-0.03125,-0.2041732370853424,0.15598438680171967
4,800,-0.125,0.2739667594432831,0.014620641246438026,0.15371815860271454
5,1000,-0.09375,0.39660128951072693,0.07169250398874283,0.19466853141784668
6,1200,-0.078125,0.24330221116542816,0.028007235378026962,0.13123378157615662
7,1400,-0.20088492333889008,0.23132580518722534,-0.023639783263206482,0.15921419858932495
8,1600,-0.16037286818027496,0.13999433815479279,-0.036344632506370544,0.10936938226222992
9,1800,-0.109375,0.0029367804527282715,-0.0527220219373703,0.043730948120355606
10,2000,-0.18297836184501648,0.11856129765510559,-0.06297926604747772,0.11096219718456268
11,2200,-0.22553595900535583,0.19799408316612244,-0.03032296895980835,0.15105710923671722
12,2400,-0.1345279961824417,0.09592185914516449,-0.036995284259319305,0.08783134818077087
13,2600,-0.09375,0.0,-0.04435758292675018,0.0332682766020298
14,2800,-0.11814220249652863,0.05468392372131348,-0.05285777151584625,0.06932678818702698
15,3000,-0.11249518394470215,0.1387205570936203,0.020984984934329987,0.09877794981002808
16,3200,-0.046875,0.22850944101810455,0.05915887653827667,0.11258916556835175
17,3400,-0.046875,0.265625,0.08240378648042679,0.11513397097587585
18,3600,-0.03125,0.21875,0.05995744466781616,0.0967184379696846
19,3800,-0.125,0.21875,0.014515973627567291,0.13006944954395294
20,4000,-0.11594437807798386,0.2963531017303467,0.03520438075065613,0.15582792460918427
21,4200,-0.09736590832471848,0.08008086681365967,-0.04551777243614197,0.07283414155244827
